what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.next",1323488232358
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488266104
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1323488267276
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488267494
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1323488268900
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488269147
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488273881
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488273881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323488293416
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488297523
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488300028
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488300028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488303814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488306620
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488306663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323488359373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323488364891
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488369260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323488380212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323488384419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1323488384812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323488401038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488417609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488467949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488471742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488480030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323488494918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323488524759
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488526099
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488527264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323488534351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488564274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488787882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488827919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488852759
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323488861205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488870340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488875701
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323488875749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488880227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488883107
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323488890439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488901126
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323488927151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488936639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488938417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323488987926
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323488989038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323489026427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323489031650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323489036354
